203,69,1
245,214,2
151,108,1
269,84,1
179,221,3
130,104,1
36,301,4
249,74,1
183,243,3
33,69,4
139,342,5
238,268,6
332,148,7
51,268,4
94,38,8
136,255,9
252,218,2
322,327,7
36,339,5
226,74,1
139,207,10
198,80,1
247,113,1
41,292,4
48,163,4
182,187,1
54,322,11
270,188,2
110,342,5
179,231,3
42,296,4
125,75,1
250,39,8
270,82,1
267,214,2
119,39,8
241,192,2
321,130,7
179,72,1
325,111,7
35,199,4
325,41,12
231,149,1
149,189,10
236,36,8
330,150,7
197,249,3
194,223,3
192,244,3
335,207,7
331,98,7
216,340,5
197,81,1
261,120,1
327,238,7
90,40,8
321,241,7
137,184,10
196,221,3
240,250,6
333,39,12
232,144,1
202,171,1
151,341,5
183,177,1
202,223,3
281,90,1
46,275,4
193,222,3
331,173,7
147,206,10
258,45,8
52,312,4
38,146,4
203,79,1
227,69,1
328,274,7
238,349,5
259,211,2
130,337,5
327,192,7
336,334,7
35,325,11
41,73,4
212,241,3
138,208,10
226,140,1
144,132,1
326,182,7
324,102,7
171,145,1
217,334,5
104,342,5
48,160,4
249,334,5
129,95,1
190,45,8
162,339,5
275,83,1
333,295,7
333,238,7
86,349,5
237,42,8
259,207,2
209,220,3
146,119,1
226,141,1
45,305,4
51,91,4
331,126,7
33,124,4
281,50,8
276,340,5
239,335,5
144,67,1
50,99,4
165,36,8
222,50,8
31,324,11
44,260,4
245,275,6
241,205,2
218,164,1
254,278,6
206,51,8
306,348,5
176,78,1
319,259,7
193,68,1
140,123,1
173,330,5
36,256,4
147,214,10
219,43,8
40,194,4
335,261,7
254,212,2
155,78,1
275,343,5
333,329,7
240,134,1
233,127,1
202,69,1
280,51,8
165,341,5
153,189,10
292,337,5
321,136,7
50,155,4
194,338,5
149,191,10
128,40,8
45,75,4
253,98,1
49,181,4
136,40,8
108,43,8
153,200,10
234,335,5
284,289,6
127,282,9
181,229,3
83,42,8
244,107,1
36,147,4
43,52,4
177,50,8
326,38,12
333,221,7
42,315,4
118,192,10
169,137,1
156,273,9
266,211,2
279,66,1
188,42,8
41,275,4
42,302,4
277,83,1
233,79,1
118,285,9
35,50,4
211,239,3
123,339,5
204,233,3
147,203,10
159,68,1
320,272,7
118,280,9
241,74,1
131,341,5
321,137,7
324,277,7
138,103,1
217,72,1
164,136,1
107,295,9
325,44,12
320,198,7
93,340,5
328,121,7
118,186,10
203,227,3
245,343,5
86,345,5
67,47,8
258,50,8
323,296,7
259,95,1
341,333,7
230,126,1
263,62,1
51,285,4
158,124,1
249,121,1
149,187,10
204,348,5
194,349,5
330,41,12
33,82,4
133,213,10
120,39,8
235,131,1
42,239,4
180,173,1
247,129,1
42,102,4
145,74,1
42,297,4
203,183,1
190,332,5
244,200,2
106,74,1
123,73,1
211,77,1
215,181,1
168,68,1
22,323,11
320,99,7
283,340,5
226,331,5
334,274,7
331,234,7
39,197,4
243,251,6
320,249,7
234,79,1
125,81,1
133,259,9
152,122,1
47,344,5
151,138,1
38,227,4
239,206,2
336,308,7
148,200,10
338,329,7
138,49,8
